ID,Date,Element,Data_Value
USC00260125,2009-12-07,TMAX,117
USR0000NKYL,2011-07-02,TMIN,150
USS0015N10S,2009-07-19,TMAX,241
USC00260125,2006-09-14,TMIN,272
USW00053123,2013-09-23,TMIN,189
USR0000NKYL,2013-03-20,TMIN,39
USW00053123,2008-11-04,TMIN,128
USW00023169,2013-11-14,TMAX,233
USW00023169,2015-02-23,TMAX,94
USC00264439,2005-09-27,TMIN,172
USC00265705,2009-11-07,TMIN,117
USR0000NKYL,2013-03-20,TMAX,139
USR0000NRER,2008-12-08,TMIN,28
USR0000AMUS,2010-02-10,TMAX,89
USC00029376,2006-09-14,TMIN,228
USW00023169,2006-01-12,TMIN,28
USW00053123,2013-09-23,TMAX,306
USR0000AMUS,2005-07-02,TMAX,328
USC00265705,2011-05-21,TMIN,156
USC00029376,2006-09-14,TMAX,417
USC00260125,2005-07-04,TMAX,428
USW00023169,2010-12-04,TMAX,156
USC00260125,2006-07-10,TMIN,267
USS0015N10S,2011-04-03,TMAX,94
USR0000NRER,2005-02-24,TMIN,44
USR0000NKYL,2013-10-02,TMIN,106
USR0000NRER,2011-12-28,TMAX,172
USR0000NRER,2014-07-24,TMIN,272
USS0015N10S,2009-12-21,TMAX,60
USW00053123,2014-06-08,TMIN,250
USR0000NKYL,2005-12-30,TMAX,106
USW00023169,2006-01-12,TMAX,156
USC00028516,2007-11-03,TMIN,106
USR0000NKYL,2013-10-02,TMAX,217
USS0015N10S,2013-08-29,TMIN,107
USW00053123,2008-11-04,TMAX,206
USS0015N10S,2015-03-28,TMAX,159
USS0015N10S,2015-03-28,TMIN,34
USW00023169,2006-05-20,TMAX,367
USW00053123,2014-06-08,TMAX,400
USC00264439,2009-07-19,TMIN,294
USS0015N10S,2015-09-07,TMAX,191
USR0000NRER,2008-12-08,TMAX,133
USC00260125,2005-07-04,TMIN,300
USR0000AMUS,2009-03-29,TMAX,161
USW00053123,2015-03-19,TMAX,261
USW00023169,2013-09-12,TMIN,200
USR0000AMUS,2012-03-20,TMAX,100
USW00053123,2015-03-19,TMIN,144
USR0000NRER,2014-08-25,TMAX,322
USC00260125,2014-10-07,TMAX,367
USC00264439,2007-08-31,TMIN,256
USS0015N10S,2009-07-19,TMIN,129
USR0000AMUS,2006-04-10,TMAX,156
USR0000NRER,2014-06-26,TMIN,233
USR0000NRER,2014-07-24,TMAX,400
USW00023169,2010-04-27,TMIN,194
USR0000AMUS,2010-02-10,TMIN,-6
USR0000NRER,2011-12-28,TMIN,0
